Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
21,17,Sales,Analyst,Telecom,G,Sr.Manager,PG,Botony,Bhubaneswar,1993.0,Botony,Bhubaneswar,1995.0,Botony,Jaipur,1999.0,Chennai,Bangalore,2665554,N,D,3,5,1,0,3188002
24,18,Marketing,Sales Manager,FMCG,B,HR,PG,Engineering,Jaipur,1987.0,Engineering,Jaipur,1989.0,Engineering,Ahmedabad,1996.0,Kanpur,Chennai,2817086,N,A,5,7,1,0,3662211
5,5,Engineering,Sales Execituve,BFSI,M,Data Analyst,Under Grad,,,,,,,,,,Lucknow,Delhi,556306,N,C,4,4,3,0,639751
0,0,,,,,fresher,PG,Statistics,Delhi,2020.0,Statistics,Delhi,2009.0,,,,Bangalore,Bangalore,0,N,,0,0,1,0,533832
17,17,Top Management,Senior Researcher,Analytics,K,HR,Grad,Psychology,Nagpur,2003.0,Psychology,Nagpur,2017.0,,,,Bangalore,Guwahati,2436859,N,C,6,2,0,0,2802387
23,8,Accounts,Scientist,Retail,K,HR,Doctorate,Engineering,Nagpur,1990.0,Engineering,Nagpur,1992.0,Engineering,Jaipur,1997.0,Nagpur,Kanpur,3272140,Y,Key_Performer,6,4,0,1,4580996
15,7,Top Management,CEO,BFSI,I,Network Engineer,Grad,Engineering,Jaipur,1998.0,Engineering,Jaipur,2000.0,Engineering,Kolkata,2005.0,Nagpur,Surat,2373425,N,B,4,6,1,1,2966781
1,1,,Sales Execituve,Training,A,Consultant,Doctorate,Arts,Mangalore,2019.0,Arts,Mangalore,2011.0,,,,Bangalore,Ahmedabad,870603,N,D,3,1,0,0,1001193
0,0,,,,,fresher,Grad,Economics,Surat,2014.0,Economics,Surat,2016.0,Mathematics,Surat,2020.0,Kolkata,Ahmedabad,0,N,,0,3,0,0,528835
22,17,Others,Financial Analyst,Automobile,K,Network Engineer,PG,Others,Surat,1991.0,Engineering,Surat,1993.0,Chemistry,Pune,1998.0,Kanpur,Delhi,2681890,Y,D,3,6,1,0,3256887
3,0,Education,Analyst,Aviation,O,fresher,Doctorate,Botony,Lucknow,2017.0,,,,,,,Mangalore,Mumbai,905802,N,B,2,0,0,0,1222832
19,14,Accounts,Bio statistician,Others,E,Assistant Manager,Grad,Others,Jaipur,1995.0,Economics,Jaipur,1997.0,Zoology,Bhubaneswar,2001.0,Pune,Mumbai,1669729,N,C,2,5,4,0,1920188
16,3,Healthcare,Researcher,FMCG,P,Marketing Manager,Under Grad,,,,,,,,,,Surat,Guwahati,2077312,N,B,3,8,1,0,2596640
18,5,Top Management,Senior Researcher,Insurance,P,Research Scientist,PG,Sociology,Bhubaneswar,1996.0,Sociology,Bhubaneswar,1998.0,Others,Mangalore,2002.0,Jaipur,Bhubaneswar,3321800,N,A,6,8,0,0,4318340
16,7,Engineering,CEO,IT,C,Research Analyst,Grad,Statistics,Mumbai,1998.0,Statistics,Mumbai,2000.0,Statistics,Lucknow,2004.0,Mangalore,Guwahati,2385140,N,C,2,5,2,0,2742911
23,21,Banking,Analyst,FMCG,E,Assistant Manager,Grad,Sociology,Pune,1989.0,Others,Pune,1991.0,Zoology,Pune,1997.0,Delhi,Mumbai,2443779,N,A,4,4,3,0,3054723
14,11,Accounts,Others,Telecom,H,CA,Grad,Economics,Pune,2000.0,Others,Pune,2002.0,Zoology,Delhi,2006.0,Bhubaneswar,Mangalore,1912096,N,A,2,8,0,0,2390120
16,1,Marketing,Analyst,Aviation,F,Network Engineer,Grad,Others,Mumbai,1995.0,Economics,Mumbai,1997.0,Psychology,Delhi,2004.0,Surat,Ahmedabad,2691005,N,A,2,4,0,0,3363756
8,1,Healthcare,Scientist,Training,I,Consultant,Grad,Economics,Bangalore,2004.0,Others,Bangalore,2006.0,Economics,Nagpur,2012.0,Guwahati,Delhi,1090699,Y,Key_Performer,5,5,0,0,1451938
18,6,Others,Team Lead,Insurance,J,Consultant,Doctorate,Mathematics,Mumbai,1995.0,Mathematics,Mumbai,1997.0,Others,Surat,2002.0,Surat,Mumbai,3658027,Y,Key_Performer,5,5,0,0,5121237
17,8,IT-Software,Bio statistician,Aviation,P,Assistant Manager,Grad,Others,Surat,1996.0,Mathematics,Surat,1998.0,Engineering,Guwahati,2003.0,Bangalore,Kolkata,2412501,N,D,3,4,1,0,2774376
17,4,Analytics/BI,Senior Researcher,Retail,C,Others,Grad,Psychology,Nagpur,2003.0,Psychology,Nagpur,2014.0,,,,Surat,Nagpur,2537880,N,B,2,2,0,0,3172350
23,8,HR,Sales Execituve,BFSI,G,Product Manager,Grad,Chemistry,Bhubaneswar,1989.0,Chemistry,Bhubaneswar,1991.0,Chemistry,Jaipur,1997.0,Bangalore,Delhi,2509721,Y,B,6,4,0,0,3212442
18,17,HR,Sales Execituve,Analytics,O,Director,Grad,Engineering,Mangalore,2002.0,Engineering,Mangalore,2020.0,,,,Chennai,Bangalore,2766995,Y,D,4,1,0,0,3258413
7,7,Accounts,Project Manager,Automobile,E,Manager,Under Grad,,,,,,,,,,Ahmedabad,Bhubaneswar,632464,Y,Key_Performer,6,4,0,0,855091
3,1,Accounts,Consultant,Telecom,I,Consultant,Under Grad,,,,,,,,,,Lucknow,Jaipur,432457,N,A,3,6,0,0,540571
19,8,Others,Project Manager,Automobile,C,Software Developer,Grad,Engineering,Delhi,1992.0,Engineering,Delhi,1994.0,Engineering,Mangalore,2001.0,Chennai,Surat,2721867,Y,C,6,7,1,0,3205270
10,3,Education,CEO,Aviation,O,fresher,Grad,Zoology,Mumbai,2010.0,Zoology,Mumbai,2009.0,,,,Delhi,Jaipur,1964076,N,B,4,1,0,1,2455095
16,10,HR,Others,Aviation,E,CA,Doctorate,Statistics,Delhi,1996.0,Statistics,Delhi,1998.0,Statistics,Ahmedabad,2004.0,Surat,Guwahati,3198597,N,C,4,8,0,0,3972657
15,11,Education,Financial Analyst,BFSI,K,Data Analyst,Grad,Statistics,Mumbai,1999.0,Statistics,Mumbai,2001.0,Statistics,Pune,2005.0,Bangalore,Lucknow,1965889,N,B,5,5,1,0,2457361
1,1,Marketing,Analyst,Insurance,G,fresher,Doctorate,Psychology,Mangalore,2019.0,,,,,,,Nagpur,Lucknow,726562,N,B,1,1,0,0,908202
6,0,Education,Bio statistician,Retail,J,Product Manager,Grad,Engineering,Guwahati,2007.0,Engineering,Guwahati,2009.0,Engineering,Pune,2014.0,Jaipur,Jaipur,1172901,N,C,6,8,0,0,1348836
14,8,Banking,Business Analyst,IT,O,Research Analyst,PG,Statistics,Nagpur,1998.0,Statistics,Nagpur,2000.0,Statistics,Delhi,2006.0,Lucknow,Kanpur,2390535,Y,Key_Performer,2,8,1,0,3155506
12,6,Engineering,Others,Training,L,Sr.Manager,Grad,Botony,Bangalore,2008.0,Botony,Bangalore,2019.0,,,,Mangalore,Jaipur,1819553,N,A,3,2,0,0,2274441
0,0,,,,,fresher,Grad,Engineering,Bhubaneswar,2011.0,Engineering,Bhubaneswar,2013.0,Engineering,Ahmedabad,2020.0,Chennai,Guwahati,0,N,,0,3,0,0,540029
6,2,Sales,Financial Analyst,Telecom,J,Marketing Manager,PG,Mathematics,Nagpur,2005.0,Mathematics,Nagpur,2007.0,Others,Delhi,2014.0,Kanpur,Guwahati,1162795,Y,B,3,6,0,0,1534889
17,3,Others,Bio statistician,Analytics,D,Product Manager,Doctorate,Sociology,Mumbai,1995.0,Sociology,Mumbai,1997.0,Sociology,Kolkata,2003.0,Pune,Mumbai,2794461,N,D,2,5,0,0,3470720
17,10,HR,Others,Aviation,J,Product Manager,Doctorate,Zoology,Nagpur,1994.0,Zoology,Nagpur,1996.0,Zoology,Bangalore,2003.0,Ahmedabad,Kolkata,2545024,N,C,3,5,0,0,3160919
8,5,Banking,Principal Analyst,Automobile,M,HR,Doctorate,Engineering,Jaipur,2003.0,Engineering,Jaipur,2005.0,Engineering,Kolkata,2012.0,Surat,Delhi,1536985,Y,B,1,6,0,0,2151779
2,1,HR,Financial Analyst,Analytics,G,fresher,PG,Arts,Guwahati,2009.0,Arts,Guwahati,2011.0,Others,Delhi,2018.0,Surat,Jaipur,661595,N,B,1,5,1,0,860073
21,8,Healthcare,Bio statistician,Retail,M,Marketing Manager,PG,Statistics,Mangalore,1993.0,Statistics,Mangalore,1995.0,Others,Bangalore,1999.0,Kanpur,Ahmedabad,2694741,Y,B,3,5,1,0,3557058
22,10,Healthcare,Head,Aviation,N,Sr.Manager,Doctorate,Engineering,Mumbai,1989.0,Engineering,Mumbai,1991.0,Others,Ahmedabad,1998.0,Ahmedabad,Jaipur,3296494,N,C,3,6,0,1,4094245
16,4,HR,Project Manager,Aviation,P,fresher,Grad,Botony,Kolkata,1995.0,Botony,Kolkata,1997.0,Botony,Mumbai,2004.0,Kolkata,Bhubaneswar,2487216,Y,Key_Performer,3,6,0,0,3183636
11,2,HR,Senior Researcher,Training,B,Assistant Manager,Doctorate,Sociology,Delhi,2003.0,Sociology,Delhi,2005.0,Sociology,Lucknow,2009.0,Kolkata,Lucknow,1767683,Y,Key_Performer,2,8,0,0,2474756
0,0,,,,,fresher,Doctorate,Sociology,Jaipur,2011.0,Sociology,Jaipur,2013.0,Mathematics,Bhubaneswar,2020.0,Ahmedabad,Chennai,0,N,,0,3,0,0,1441739
8,4,Education,Business Analyst,IT,I,CA,Grad,Economics,Ahmedabad,2004.0,Economics,Ahmedabad,2006.0,Economics,Delhi,2012.0,Ahmedabad,Nagpur,1027543,Y,B,3,4,0,0,1315255
1,1,,Associate,Telecom,O,Medical Officer,Grad,Zoology,Mangalore,2010.0,Zoology,Mangalore,2012.0,Others,Mangalore,2019.0,Kanpur,Kolkata,505579,N,D,3,5,0,0,581415
11,1,HR,Sales Manager,IT,J,fresher,Grad,Psychology,Lucknow,2009.0,Psychology,Lucknow,2014.0,,,,Mumbai,Kolkata,1960007,N,B,6,0,0,0,2450008
22,9,Top Management,Sales Execituve,Insurance,J,Sr.Manager,PG,Botony,Guwahati,1998.0,Botony,Guwahati,2014.0,,,,Bhubaneswar,Ahmedabad,2720262,N,B,2,1,1,0,3536340
9,3,Top Management,Principal Analyst,Aviation,J,Web Designer,Under Grad,,,,,,,,,,Jaipur,Surat,908556,N,Key_Performer,2,0,2,1,1135695
16,13,Education,Consultant,Others,M,fresher,Under Grad,,,,,,,,,,Ahmedabad,Ahmedabad,2232606,N,D,3,1,0,0,2567496
15,3,Engineering,Business Analyst,Aviation,A,fresher,PG,Zoology,Ahmedabad,2005.0,Zoology,Ahmedabad,2011.0,,,,Kolkata,Kanpur,1699678,N,C,5,2,0,0,2032814
3,0,,Associate,Training,J,fresher,PG,Botony,Lucknow,2008.0,Botony,Lucknow,2010.0,Botony,Nagpur,2017.0,Chennai,Lucknow,619340,N,C,1,8,0,0,740730
2,2,Engineering,Business Analyst,Others,L,fresher,Under Grad,,,,,,,,,,Delhi,Mumbai,464790,N,D,1,1,3,0,534508
20,19,HR,CEO,Aviation,B,CA,PG,Statistics,Guwahati,1993.0,Statistics,Guwahati,1995.0,Statistics,Nagpur,2000.0,Delhi,Ahmedabad,3187917,Y,Key_Performer,6,8,0,1,4208050
9,8,Engineering,Senior Researcher,Analytics,O,Data Analyst,Grad,Zoology,Guwahati,2011.0,Zoology,Guwahati,2010.0,,,,Jaipur,Kanpur,1019620,N,D,4,1,0,0,1172563
15,7,Marketing,Project Manager,Telecom,J,Software Developer,Grad,Economics,Guwahati,1999.0,Economics,Guwahati,2001.0,Others,Mumbai,2005.0,Bhubaneswar,Kanpur,2554245,N,A,6,8,2,0,3192806
4,1,Marketing,Sales Execituve,BFSI,H,Network Engineer,Doctorate,Statistics,Pune,2008.0,Statistics,Pune,2010.0,Statistics,Bangalore,2016.0,Delhi,Ahmedabad,1365308,N,A,5,8,0,0,1916892
16,6,Sales,Others,FMCG,L,Director,PG,Mathematics,Jaipur,1997.0,Mathematics,Jaipur,1999.0,Mathematics,Bangalore,2004.0,Pune,Delhi,2491097,Y,D,2,8,0,0,3025188
7,0,IT-Software,Principal Analyst,Retail,N,Research Analyst,PG,Others,Mangalore,2006.0,Others,Mangalore,2008.0,Economics,Ahmedabad,2013.0,Delhi,Surat,1299974,Y,Key_Performer,1,7,1,0,1784604
20,8,Education,Sales Manager,Automobile,C,Consultant,Under Grad,,,,,,,,,,Bhubaneswar,Surat,2401950,Y,Key_Performer,2,4,0,0,3122535
9,3,Engineering,Bio statistician,Telecom,K,Data Analyst,Doctorate,Statistics,Bhubaneswar,2002.0,Statistics,Bhubaneswar,2004.0,Statistics,Lucknow,2011.0,Bangalore,Nagpur,1419368,Y,D,3,7,0,0,1828145
1,0,Education,Business Analyst,Retail,E,Consultant,Grad,Psychology,Lucknow,2019.0,Psychology,Lucknow,2015.0,,,,Guwahati,Pune,530512,N,B,2,1,0,0,663140
24,7,,Others,Others,L,Others,Doctorate,Sociology,Mumbai,1990.0,Sociology,Mumbai,1992.0,Others,Kolkata,1996.0,Jaipur,Jaipur,3403831,N,C,5,5,0,0,4227558
3,0,Marketing,Financial Analyst,Insurance,A,fresher,Under Grad,,,,,,,,,,Pune,Pune,516421,N,D,2,0,2,0,593884
3,3,Analytics/BI,Analyst,IT,P,Web Designer,Grad,Mathematics,Ahmedabad,2008.0,Mathematics,Ahmedabad,2010.0,Mathematics,Kolkata,2017.0,Mumbai,Chennai,677985,Y,B,3,8,4,0,867820
22,16,Top Management,Bio statistician,Aviation,K,fresher,Grad,Sociology,Nagpur,1992.0,Sociology,Nagpur,1994.0,Others,Pune,1998.0,Mangalore,Kanpur,2632738,N,B,2,3,0,0,3290922
17,0,IT-Software,Business Analyst,Training,N,CA,PG,Mathematics,Ahmedabad,1994.0,Mathematics,Ahmedabad,1996.0,Mathematics,Ahmedabad,2003.0,Mumbai,Mumbai,3371241,N,B,5,4,2,0,4382613
9,1,Education,Analyst,Insurance,J,Consultant,Doctorate,Arts,Bhubaneswar,2004.0,Arts,Bhubaneswar,2006.0,Arts,Kolkata,2011.0,Lucknow,Guwahati,2114838,N,C,1,4,0,0,2626628
0,0,,,,,fresher,PG,Sociology,Pune,2014.0,Sociology,Pune,2016.0,Sociology,Kolkata,2020.0,Mangalore,Bangalore,0,N,,0,7,0,0,623928
8,1,Analytics/BI,Scientist,Analytics,M,Product Manager,Doctorate,Economics,Ahmedabad,2004.0,Economics,Ahmedabad,2006.0,Economics,Ahmedabad,2012.0,Ahmedabad,Jaipur,1750677,Y,C,4,7,0,0,2254871
0,0,,,,,fresher,Under Grad,,,,,,,,,,Pune,Surat,0,N,,0,5,3,0,367505
24,6,Top Management,Scientist,Automobile,F,Director,Grad,Chemistry,Surat,1987.0,Chemistry,Surat,1989.0,Chemistry,Kolkata,1996.0,Delhi,Lucknow,2589662,Y,Key_Performer,5,7,0,1,3314767
13,12,Healthcare,Senior Researcher,Training,H,Product Manager,PG,Sociology,Pune,2000.0,Sociology,Pune,2002.0,Sociology,Bangalore,2007.0,Lucknow,Mangalore,2183792,N,A,3,6,0,0,2838929
2,0,Marketing,,Aviation,D,Software Developer,Grad,Engineering,Pune,2010.0,Engineering,Pune,2012.0,Engineering,Guwahati,2018.0,Nagpur,Ahmedabad,500844,N,A,1,5,0,0,626055
7,1,HR,Financial Analyst,Automobile,L,Network Engineer,Doctorate,Statistics,Pune,2007.0,Statistics,Pune,2009.0,Statistics,Nagpur,2013.0,Mangalore,Surat,1807322,Y,B,4,4,0,0,2530250
23,8,Banking,Team Lead,Telecom,B,Data Analyst,Grad,Botony,Bangalore,1997.0,Others,Bangalore,2023.0,,,,Kolkata,Mumbai,2633728,N,C,2,1,2,0,3028787
21,17,Marketing,Sales Execituve,Training,E,Consultant,Under Grad,,,,,,,,,,Mangalore,Kolkata,2068247,Y,Key_Performer,5,3,3,0,2688721
8,7,Marketing,Bio statistician,FMCG,L,HR,Grad,Psychology,Bhubaneswar,2012.0,,,,,,,Mangalore,Surat,1467875,N,D,5,1,0,0,1688056
9,5,Healthcare,Business Analyst,Analytics,A,Marketing Manager,Doctorate,Economics,Ahmedabad,2003.0,Economics,Ahmedabad,2005.0,Economics,Surat,2011.0,Ahmedabad,Kanpur,2163177,Y,Key_Performer,3,5,0,0,3028447
21,8,Accounts,Consultant,Automobile,G,Data Analyst,Grad,Statistics,Pune,1999.0,Statistics,Pune,2020.0,,,,Mumbai,Kanpur,1678534,N,D,5,1,2,0,1930314
12,6,Engineering,Consultant,Aviation,E,HR,Under Grad,,,,,,,,,,Jaipur,Jaipur,1642528,N,B,2,7,3,0,2053160
20,19,Analytics/BI,Data scientist,IT,N,Assistant Manager,PG,Engineering,Jaipur,1992.0,Engineering,Jaipur,1994.0,Engineering,Delhi,2000.0,Jaipur,Bangalore,2553269,Y,D,2,6,0,1,3100689
18,12,Accounts,Scientist,Insurance,J,Product Manager,Doctorate,Economics,Guwahati,2002.0,Economics,Guwahati,2013.0,,,,Guwahati,Guwahati,3610470,N,Key_Performer,6,0,0,0,4874134
11,6,,Senior Researcher,FMCG,B,Marketing Manager,Grad,Psychology,Mumbai,2009.0,Psychology,Mumbai,2018.0,,,,Chennai,Mumbai,1888846,N,D,5,2,0,0,2172172
15,2,Banking,Project Manager,Automobile,L,Research Scientist,Under Grad,,,,,,,,,,Mumbai,Delhi,2650317,Y,Key_Performer,6,5,1,0,3445412
25,21,Top Management,Financial Analyst,Analytics,B,CA,PG,Statistics,Mangalore,1987.0,Statistics,Mangalore,1989.0,Statistics,Guwahati,1995.0,Ahmedabad,Jaipur,2858763,Y,D,6,4,0,0,3471681
19,14,Banking,CEO,Others,B,Marketing Manager,Grad,Botony,Jaipur,2001.0,Botony,Jaipur,2022.0,,,,Lucknow,Bangalore,2560575,N,Key_Performer,6,1,0,0,3200718
7,5,Others,Analyst,IT,G,fresher,Under Grad,,,,,,,,,,Bangalore,Mangalore,545218,N,D,5,4,0,0,627000
18,16,Analytics/BI,Others,Others,J,Research Analyst,Doctorate,Engineering,Mumbai,1993.0,Engineering,Mumbai,1995.0,Engineering,Pune,2002.0,Ahmedabad,Chennai,3693513,Y,C,2,6,0,0,4757244
3,3,IT-Software,Others,Aviation,K,Data Analyst,Grad,Engineering,Guwahati,2008.0,Engineering,Guwahati,2010.0,Engineering,Lucknow,2017.0,Chennai,Delhi,637329,N,A,2,4,1,0,796661
24,18,Others,Business Analyst,Training,G,Data Analyst,PG,Engineering,Kolkata,1990.0,Engineering,Kolkata,1992.0,Engineering,Surat,1996.0,Kanpur,Guwahati,3432398,N,D,3,4,0,0,4105148
13,9,,CEO,Training,M,Research Analyst,Grad,Arts,Surat,2007.0,,,,,,,Bangalore,Mangalore,2040895,N,C,5,0,0,0,2347029
4,2,Banking,Business Analyst,Training,E,Manager,Grad,Zoology,Mumbai,2007.0,Zoology,Mumbai,2009.0,Others,Kolkata,2016.0,Kolkata,Delhi,633574,Y,Key_Performer,5,7,0,0,843413
2,2,Banking,Project Manager,Training,K,Others,Doctorate,Mathematics,Delhi,2011.0,Mathematics,Delhi,2013.0,Mathematics,Surat,2018.0,Mangalore,Guwahati,501171,N,C,1,8,0,0,608622
13,8,HR,Business Analyst,FMCG,C,Others,PG,Economics,Nagpur,2001.0,Economics,Nagpur,2003.0,Economics,Lucknow,2007.0,Bhubaneswar,Surat,1598999,N,D,3,4,1,0,1912402
13,4,Engineering,Bio statistician,Insurance,D,HR,PG,Zoology,Surat,2000.0,Zoology,Surat,2002.0,Others,Kolkata,2007.0,Kolkata,Chennai,1670851,Y,Key_Performer,6,8,1,0,2205523
11,11,Education,Sales Manager,Others,G,Director,Doctorate,Economics,Surat,2001.0,Economics,Surat,2003.0,Economics,Delhi,2009.0,Nagpur,Lucknow,1809036,N,A,2,3,0,0,2442198
0,0,,,,,fresher,Grad,Others,Jaipur,2013.0,Others,Jaipur,2015.0,Economics,Delhi,2020.0,Surat,Kanpur,0,N,,0,4,0,0,567410
0,0,,,,,fresher,Under Grad,,,,,,,,,,Mumbai,Nagpur,0,N,,0,1,4,0,398990
3,0,Banking,Others,Aviation,F,Assistant Manager,Grad,Botony,Ahmedabad,2017.0,,,,,,,Bhubaneswar,Surat,691349,N,B,1,1,1,0,864186
0,0,,,,,fresher,Doctorate,Chemistry,Bhubaneswar,2013.0,Chemistry,Bhubaneswar,2015.0,Chemistry,Kolkata,2020.0,Mangalore,Jaipur,0,N,,0,3,0,0,841584
23,18,IT-Software,Bio statistician,Retail,A,Network Engineer,PG,Mathematics,Bangalore,1989.0,Mathematics,Bangalore,1991.0,Mathematics,Kolkata,1997.0,Nagpur,Bangalore,2641076,Y,D,6,8,0,0,3207322
14,11,Marketing,Head,Training,F,Assistant Manager,Under Grad,,,,,,,,,,Chennai,Bangalore,1202610,N,B,2,1,0,1,1503262
4,2,Analytics/BI,Others,Insurance,D,Consultant,Doctorate,Psychology,Nagpur,2009.0,Psychology,Nagpur,2011.0,Psychology,Jaipur,2016.0,Bangalore,Mangalore,1065609,N,A,3,7,0,0,1496115
11,1,,Sales Manager,Training,L,fresher,Grad,Botony,Pune,2009.0,Botony,Pune,2020.0,,,,Pune,Bhubaneswar,1817075,N,Key_Performer,3,2,0,0,2271343
18,13,IT-Software,CEO,Analytics,N,Manager,PG,Mathematics,Jaipur,1996.0,Mathematics,Jaipur,1998.0,Mathematics,Guwahati,2002.0,Nagpur,Pune,3090502,Y,B,2,3,0,0,4079462
20,4,Marketing,Bio statistician,FMCG,A,Marketing Manager,Doctorate,Botony,Mumbai,1994.0,Others,Mumbai,1996.0,Sociology,Jaipur,2000.0,Kanpur,Surat,3240446,Y,Key_Performer,5,7,0,0,4536624
2,0,,Others,IT,G,fresher,Doctorate,Psychology,Surat,2012.0,Psychology,Surat,2014.0,Psychology,Jaipur,2018.0,Delhi,Pune,769433,N,C,2,8,0,0,884847
21,20,Marketing,Bio statistician,Retail,F,Director,PG,Mathematics,Jaipur,1993.0,Mathematics,Jaipur,1995.0,Mathematics,Lucknow,1999.0,Bhubaneswar,Mumbai,3145364,Y,A,3,3,1,0,4151880
7,7,HR,Consultant,Telecom,F,Sr.Manager,Grad,Sociology,Lucknow,2005.0,Sociology,Lucknow,2007.0,Sociology,Lucknow,2013.0,Jaipur,Surat,1150824,N,D,1,4,0,0,1323447
12,12,Banking,Consultant,Automobile,C,Others,Under Grad,,,,,,,,,,Guwahati,Pune,1242798,N,D,2,0,1,0,1429217
19,1,Banking,Senior Researcher,Insurance,H,Others,Under Grad,,,,,,,,,,Jaipur,Lucknow,2713407,N,Key_Performer,5,1,1,0,3391758
10,4,HR,Project Manager,Insurance,L,fresher,Under Grad,,,,,,,,,,Delhi,Ahmedabad,1386106,N,C,5,5,2,0,1594021
21,6,Education,Scientist,Analytics,P,Data Analyst,Grad,Statistics,Mangalore,1991.0,Statistics,Mangalore,1993.0,Statistics,Surat,1999.0,Surat,Kanpur,2282089,Y,Key_Performer,5,3,3,0,2921073
15,8,Sales,Others,Insurance,G,Assistant Manager,Under Grad,,,,,,,,,,Mangalore,Surat,1491097,Y,Key_Performer,5,5,3,0,1938426
25,11,Healthcare,Senior Researcher,BFSI,F,fresher,Doctorate,Botony,Pune,1989.0,Botony,Pune,1991.0,Botony,Ahmedabad,1995.0,Jaipur,Chennai,3523485,N,B,3,5,0,0,4756704
11,0,HR,Analyst,FMCG,J,Assistant Manager,Under Grad,,,,,,,,,,Kanpur,Pune,1157629,N,A,3,2,1,0,1447036
22,21,Others,Bio statistician,IT,B,Marketing Manager,Under Grad,,,,,,,,,,Pune,Mangalore,1444814,N,A,4,5,1,0,1806017
23,22,Sales,Business Analyst,Others,C,Software Developer,Grad,Mathematics,Delhi,1991.0,Mathematics,Delhi,1993.0,Mathematics,Jaipur,1997.0,Kanpur,Kanpur,2464776,Y,Key_Performer,5,6,2,0,3154913
5,3,Analytics/BI,Data scientist,FMCG,L,fresher,PG,Zoology,Ahmedabad,2008.0,Zoology,Ahmedabad,2010.0,Zoology,Delhi,2015.0,Surat,Guwahati,957886,N,C,1,5,1,0,1145631
0,0,,,,,fresher,Grad,Zoology,Pune,2014.0,Zoology,Pune,2016.0,Zoology,Ahmedabad,2020.0,Guwahati,Jaipur,0,N,,0,4,0,0,532794
6,3,Marketing,Bio statistician,Training,P,Consultant,Doctorate,Botony,Mangalore,2005.0,Botony,Mangalore,2007.0,Botony,Delhi,2014.0,Ahmedabad,Chennai,2106685,N,A,2,8,0,0,2957785
25,5,Analytics/BI,Others,BFSI,F,Medical Officer,Doctorate,Psychology,Guwahati,1995.0,,,,,,,Delhi,Guwahati,3367762,N,B,5,0,0,0,4546478
13,7,Others,Team Lead,FMCG,O,Data Analyst,Doctorate,Arts,Surat,2007.0,Arts,Surat,2012.0,,,,Mumbai,Mangalore,2250754,N,Key_Performer,3,0,0,0,3038517
24,21,Sales,Bio statistician,Automobile,K,HR,Under Grad,,,,,,,,,,Pune,Delhi,2256452,N,C,6,7,3,0,2594919
5,3,Banking,Consultant,FMCG,J,Others,Grad,Zoology,Nagpur,2008.0,Zoology,Nagpur,2010.0,Zoology,Mumbai,2015.0,Lucknow,Bangalore,589866,N,A,1,6,0,0,766825
2,1,HR,Consultant,Automobile,N,Medical Officer,Grad,Botony,Delhi,2011.0,Botony,Delhi,2013.0,Botony,Delhi,2018.0,Nagpur,Ahmedabad,576404,N,B,3,7,0,0,720505
6,6,,Associate,IT,K,Product Manager,Grad,Zoology,Mangalore,2007.0,Zoology,Mangalore,2009.0,Zoology,Mangalore,2014.0,Jaipur,Bhubaneswar,969118,N,A,1,8,0,0,1259853
7,5,,Project Manager,Aviation,D,Research Analyst,Grad,Zoology,Guwahati,2013.0,,,,,,,Bhubaneswar,Surat,969137,N,A,6,1,4,0,1259878
9,3,Engineering,Principal Analyst,Automobile,H,Web Designer,Under Grad,,,,,,,,,,Ahmedabad,Mumbai,1073994,Y,B,3,3,1,0,1396192
3,3,,Scientist,BFSI,D,Product Manager,Under Grad,,,,,,,,,,Nagpur,Pune,427020,N,D,1,0,3,0,491073
11,0,Top Management,Area Sales Manager,Training,I,Product Manager,Doctorate,Engineering,Mumbai,2009.0,Engineering,Mumbai,2021.0,,,,Lucknow,Mumbai,2077746,N,A,3,2,0,0,2804957
1,1,Engineering,Bio statistician,Automobile,G,Marketing Manager,Under Grad,,,,,,,,,,Delhi,Bhubaneswar,460162,N,B,1,4,0,0,575202
11,4,Others,Sales Manager,Analytics,C,HR,Grad,Botony,Delhi,2009.0,Others,Delhi,2020.0,,,,Guwahati,Kanpur,1840866,N,Key_Performer,4,2,0,0,2301082
21,0,,Team Lead,IT,I,fresher,Under Grad,,,,,,,,,,Bangalore,Pune,1726815,N,D,6,1,4,0,1985837
9,1,Education,Sales Execituve,BFSI,M,Assistant Manager,Grad,Arts,Mangalore,2003.0,Arts,Mangalore,2005.0,Arts,Nagpur,2011.0,Bangalore,Pune,1136823,N,C,3,5,1,0,1307346
10,10,Sales,CEO,Telecom,L,CA,Grad,Others,Bangalore,2001.0,Statistics,Bangalore,2003.0,Mathematics,Surat,2010.0,Guwahati,Bhubaneswar,2038581,Y,A,2,5,0,1,2609383
19,13,Engineering,Others,Training,L,Assistant Manager,Under Grad,,,,,,,,,,Kanpur,Lucknow,1886220,N,A,2,6,3,0,2357775
5,3,,Consultant,FMCG,E,Research Analyst,Under Grad,,,,,,,,,,Chennai,Ahmedabad,433053,Y,Key_Performer,3,8,0,0,585487
